iter	Passed	Remaining
0	20	20167
1	29	14931
2	41	13674
3	51	12801
4	61	12323
5	75	12479
6	87	12371
7	100	12408
8	111	12308
9	123	12246
10	136	12271
11	148	12233
12	159	12138
13	170	12007
14	180	11864
15	191	11782
16	202	11718
17	212	11604
18	223	11526
19	234	11482
20	243	11348
21	253	11262
22	263	11208
23	273	11135
24	284	11101
25	295	11060
26	305	11019
27	316	11001
28	328	10997
29	338	10954
30	349	10930
31	360	10894
32	370	10856
33	381	10838
34	392	10817
35	402	10778
36	412	10745
37	422	10705
38	433	10678
39	444	10657
40	454	10620
41	464	10589
42	474	10554
43	482	10483
44	491	10426
45	499	10358
46	508	10315
47	517	10267
48	526	10214
49	534	10155
50	542	10098
51	551	10050
52	561	10029
53	570	10000
54	579	9959
55	589	9945
56	599	9913
57	607	9867
58	616	9831
59	625	9793
60	633	9754
61	642	9712
62	650	9672
63	658	9633
64	667	9603
65	675	9564
66	684	9529
67	693	9501
68	701	9465
69	710	9433
70	718	9404
71	727	9371
72	735	9339
73	746	9342
74	756	9332
75	766	9318
76	777	9314
77	788	9321
78	800	9333
79	810	9322
80	820	9308
81	831	9304
82	843	9316
83	856	9338
84	864	9310
85	873	9284
86	886	9305
87	897	9299
88	907	9294
89	917	9281
90	928	9278
91	938	9259
92	947	9242
93	956	9221
94	965	9202
95	974	9178
96	982	9150
97	991	9128
98	1000	9104
99	1008	9079
100	1017	9053
101	1026	9033
102	1035	9020
103	1044	8997
104	1053	8977
105	1062	8961
106	1071	8939
107	1079	8917
108	1088	8895
109	1096	8872
110	1104	8846
111	1113	8825
112	1121	8803
113	1131	8793
114	1139	8771
115	1148	8749
116	1156	8729
117	1165	8708
118	1173	8688
119	1181	8667
120	1190	8646
121	1198	8625
122	1207	8606
123	1215	8586
124	1223	8566
125	1233	8553
126	1242	8540
127	1250	8521
128	1259	8503
129	1267	8485
130	1276	8468
131	1284	8449
132	1293	8433
133	1301	8413
134	1310	8395
135	1318	8375
136	1326	8357
137	1335	8339
138	1343	8321
139	1352	8305
140	1360	8288
141	1369	8274
142	1377	8257
143	1386	8241
144	1394	8222
145	1404	8213
146	1412	8195
147	1421	8184
148	1431	8175
149	1439	8159
150	1448	8145
151	1458	8136
152	1466	8119
153	1475	8104
154	1483	8089
155	1492	8072
156	1501	8059
157	1509	8041
158	1517	8026
159	1525	8010
160	1534	7995
161	1542	7980
162	1550	7964
163	1559	7949
164	1567	7933
165	1576	7919
166	1585	7907
167	1593	7891
168	1601	7876
169	1610	7861
170	1618	7846
171	1626	7831
172	1635	7816
173	1643	7802
174	1652	7791
175	1661	7776
176	1669	7762
177	1678	7749
178	1687	7740
179	1696	7728
180	1705	7715
181	1713	7702
182	1721	7686
183	1730	7673
184	1738	7658
185	1746	7644
186	1755	7630
187	1764	7619
188	1772	7604
189	1780	7591
190	1790	7582
191	1799	7573
192	1808	7562
193	1821	7566
194	1831	7559
195	1842	7556
196	1852	7549
197	1862	7543
198	1874	7544
199	1882	7529
200	1891	7519
201	1899	7504
202	1908	7493
203	1916	7479
204	1925	7465
205	1933	7451
206	1942	7440
207	1950	7426
208	1959	7417
209	1968	7405
210	1976	7392
211	1985	7381
212	1994	7368
213	2003	7359
214	2014	7353
215	2023	7345
216	2034	7342
217	2045	7336
218	2053	7324
219	2062	7312
220	2071	7301
221	2081	7295
222	2092	7290
223	2101	7280
224	2110	7269
225	2119	7258
226	2128	7248
227	2136	7234
228	2145	7222
229	2153	7210
230	2162	7197
231	2171	7189
232	2182	7185
233	2192	7178
234	2202	7170
235	2211	7160
236	2222	7153
237	2231	7143
238	2239	7129
239	2247	7116
240	2255	7104
241	2264	7091
242	2272	7080
243	2281	7068
244	2289	7055
245	2297	7042
246	2306	7031
247	2314	7019
248	2324	7010
249	2332	6997
250	2342	6989
251	2351	6980
252	2359	6967
253	2368	6956
254	2377	6945
255	2385	6934
256	2394	6921
257	2402	6909
258	2410	6897
259	2419	6885
260	2427	6873
261	2435	6861
262	2444	6849
263	2452	6837
264	2460	6824
265	2469	6813
266	2478	6804
267	2487	6793
268	2495	6780
269	2503	6768
270	2512	6758
271	2520	6747
272	2529	6736
273	2537	6724
274	2546	6712
275	2554	6700
276	2562	6688
277	2572	6679
278	2581	6672
279	2590	6660
280	2599	6650
281	2607	6638
282	2616	6628
283	2624	6616
284	2632	6605
285	2641	6593
286	2649	6582
287	2658	6571
288	2667	6563
289	2678	6557
290	2688	6549
291	2699	6544
292	2708	6535
293	2716	6523
294	2725	6513
295	2734	6503
296	2742	6492
297	2751	6480
298	2759	6470
299	2767	6458
300	2776	6448
301	2786	6439
302	2794	6427
303	2803	6417
304	2811	6407
305	2820	6397
306	2829	6388
307	2838	6376
308	2846	6365
309	2855	6355
310	2863	6344
311	2871	6332
312	2880	6321
313	2889	6313
314	2897	6301
315	2906	6290
316	2914	6279
317	2923	6268
318	2931	6258
319	2941	6250
320	2950	6241
321	2958	6230
322	2967	6219
323	2976	6209
324	2985	6201
325	2994	6191
326	3003	6180
327	3012	6170
328	3020	6160
329	3029	6151
330	3039	6143
331	3049	6135
332	3057	6124
333	3067	6116
334	3076	6106
335	3085	6096
336	3093	6087
337	3102	6075
338	3110	6065
339	3119	6055
340	3127	6044
341	3136	6034
342	3144	6023
343	3153	6013
344	3161	6002
345	3174	6000
346	3186	5997
347	3198	5992
348	3207	5983
349	3216	5973
350	3224	5962
351	3233	5951
352	3241	5941
353	3250	5931
354	3261	5925
355	3273	5922
356	3283	5914
357	3292	5904
358	3301	5894
359	3309	5884
360	3318	5874
361	3329	5867
362	3339	5861
363	3349	5853
364	3360	5845
365	3370	5838
366	3378	5827
367	3387	5817
368	3396	5808
369	3405	5797
370	3413	5787
371	3421	5776
372	3430	5767
373	3439	5757
374	3448	5747
375	3456	5736
376	3464	5725
377	3474	5717
378	3485	5711
379	3496	5704
380	3506	5696
381	3515	5686
382	3523	5676
383	3532	5666
384	3541	5657
385	3549	5646
386	3558	5636
387	3566	5626
388	3575	5615
389	3583	5604
390	3592	5594
391	3600	5584
392	3610	5576
393	3622	5572
394	3635	5567
395	3646	5561
396	3656	5553
397	3666	5545
398	3677	5538
399	3686	5529
400	3696	5521
401	3706	5513
402	3716	5505
403	3726	5497
404	3736	5488
405	3746	5481
406	3756	5473
407	3767	5466
408	3777	5457
409	3787	5449
410	3798	5442
411	3808	5435
412	3818	5427
413	3830	5422
414	3841	5415
415	3852	5408
416	3865	5404
417	3877	5399
418	3895	5402
419	3906	5394
420	3915	5385
421	3925	5376
422	3935	5367
423	3945	5359
424	3954	5350
425	3964	5341
426	3974	5333
427	3985	5326
428	3995	5318
429	4005	5309
430	4017	5304
431	4027	5295
432	4037	5287
433	4048	5279
434	4058	5271
435	4068	5263
436	4081	5258
437	4091	5249
438	4101	5240
439	4110	5231
440	4120	5222
441	4130	5214
442	4140	5205
443	4150	5197
444	4159	5187
445	4170	5180
446	4182	5174
447	4193	5167
448	4203	5158
449	4213	5150
450	4224	5142
451	4233	5132
452	4243	5124
453	4254	5116
454	4264	5107
455	4274	5098
456	4284	5090
457	4294	5081
458	4305	5074
459	4317	5068
460	4330	5063
461	4347	5062
462	4359	5056
463	4371	5049
464	4381	5041
465	4391	5032
466	4404	5027
467	4415	5018
468	4424	5009
469	4435	5001
470	4445	4992
471	4455	4983
472	4464	4974
473	4474	4965
474	4484	4956
475	4494	4948
476	4505	4939
477	4515	4931
478	4525	4922
479	4538	4916
480	4547	4906
481	4559	4899
482	4569	4890
483	4579	4882
484	4589	4873
485	4599	4864
486	4609	4855
487	4620	4847
488	4633	4841
489	4643	4833
490	4653	4824
491	4664	4815
492	4674	4807
493	4684	4798
494	4694	4789
495	4707	4783
496	4717	4774
497	4727	4765
498	4737	4756
499	4750	4750
500	4760	4741
501	4771	4733
502	4780	4723
503	4792	4716
504	4806	4711
505	4818	4703
506	4828	4694
507	4839	4686
508	4849	4677
509	4859	4669
510	4870	4660
511	4880	4651
512	4890	4642
513	4899	4632
514	4909	4623
515	4920	4615
516	4930	4606
517	4940	4597
518	4950	4588
519	4961	4579
520	4972	4572
521	4983	4562
522	4992	4553
523	5002	4544
524	5012	4535
525	5023	4526
526	5033	4517
527	5045	4510
528	5055	4501
529	5065	4491
530	5075	4483
531	5085	4473
532	5095	4464
533	5105	4455
534	5116	4446
535	5126	4437
536	5135	4428
537	5146	4419
538	5155	4409
539	5165	4400
540	5177	4392
541	5188	4384
542	5198	4375
543	5209	4366
544	5219	4357
545	5229	4347
546	5238	4338
547	5248	4329
548	5258	4320
549	5269	4311
550	5279	4302
551	5289	4292
552	5304	4287
553	5317	4280
554	5331	4274
555	5341	4265
556	5352	4256
557	5361	4247
558	5371	4237
559	5381	4228
560	5391	4218
561	5401	4209
562	5414	4202
563	5423	4192
564	5433	4183
565	5446	4176
566	5456	4166
567	5466	4157
568	5476	4148
569	5486	4138
570	5496	4129
571	5507	4120
572	5517	4111
573	5528	4103
574	5540	4094
575	5549	4085
576	5562	4077
577	5572	4068
578	5582	4058
579	5592	4049
580	5602	4040
581	5612	4030
582	5622	4021
583	5632	4011
584	5641	4002
585	5651	3993
586	5663	3984
587	5674	3975
588	5684	3966
589	5693	3956
590	5704	3947
591	5714	3938
592	5724	3929
593	5734	3919
594	5746	3911
595	5758	3903
596	5769	3894
597	5779	3884
598	5789	3875
599	5799	3866
600	5809	3856
601	5818	3847
602	5828	3837
603	5838	3827
604	5848	3818
605	5858	3808
606	5868	3799
607	5877	3789
608	5887	3780
609	5898	3771
610	5909	3762
611	5918	3752
612	5928	3742
613	5938	3733
614	5947	3723
615	5958	3714
616	5968	3704
617	5978	3695
618	5992	3688
619	6005	3681
620	6019	3673
621	6032	3665
622	6042	3656
623	6052	3646
624	6063	3637
625	6074	3629
626	6084	3619
627	6097	3612
628	6109	3603
629	6119	3593
630	6129	3584
631	6139	3574
632	6149	3565
633	6159	3555
634	6169	3545
635	6178	3536
636	6188	3526
637	6198	3517
638	6208	3507
639	6218	3497
640	6227	3487
641	6237	3478
642	6247	3468
643	6257	3459
644	6267	3449
645	6277	3439
646	6289	3431
647	6302	3423
648	6314	3415
649	6328	3407
650	6340	3399
651	6350	3389
652	6360	3379
653	6371	3370
654	6381	3361
655	6391	3351
656	6401	3342
657	6411	3332
658	6421	3322
659	6431	3313
660	6441	3303
661	6450	3293
662	6460	3283
663	6471	3274
664	6481	3265
665	6491	3255
666	6501	3245
667	6510	3235
668	6520	3226
669	6530	3216
670	6540	3206
671	6550	3197
672	6562	3188
673	6571	3178
674	6582	3169
675	6593	3160
676	6603	3150
677	6615	3141
678	6626	3132
679	6636	3123
680	6646	3113
681	6657	3104
682	6667	3094
683	6677	3085
684	6689	3075
685	6703	3068
686	6717	3060
687	6726	3050
688	6737	3041
689	6747	3031
690	6757	3021
691	6770	3013
692	6781	3004
693	6791	2994
694	6801	2984
695	6811	2974
696	6821	2965
697	6831	2955
698	6840	2945
699	6850	2935
700	6861	2926
701	6873	2917
702	6884	2908
703	6894	2898
704	6904	2889
705	6915	2879
706	6925	2869
707	6934	2860
708	6945	2850
709	6956	2841
710	6966	2831
711	6977	2822
712	6987	2812
713	6997	2802
714	7007	2793
715	7017	2783
716	7026	2773
717	7036	2763
718	7046	2753
719	7057	2744
720	7067	2734
721	7077	2725
722	7088	2715
723	7101	2707
724	7111	2697
725	7121	2687
726	7131	2677
727	7141	2668
728	7151	2658
729	7162	2649
730	7172	2639
731	7181	2629
732	7192	2619
733	7206	2611
734	7219	2603
735	7229	2593
736	7242	2584
737	7254	2575
738	7263	2565
739	7274	2555
740	7284	2545
741	7293	2536
742	7304	2526
743	7316	2517
744	7330	2509
745	7343	2500
746	7357	2491
747	7372	2483
748	7385	2475
749	7399	2466
750	7413	2457
751	7426	2449
752	7439	2440
753	7450	2430
754	7461	2421
755	7471	2411
756	7481	2401
757	7491	2391
758	7501	2382
759	7511	2372
760	7521	2362
761	7531	2352
762	7541	2342
763	7554	2333
764	7566	2324
765	7579	2315
